NGC_#	Con	Type	RA_2000	Declination	Mag	Size	Hershel_#	Observation Notes
651	PER	PLNNB	01 42.3	#ERROR!	11	163"X107"	H I 193	M-76 is a small planetary nebula and it is the dimmest Messier object. Mechain found this object in Sept. 1780. It is often called the Barbell or Little Dumbbell because of its' resemblance to M-27 in Vulpecula. M-76 shows some excellant detail at high powers. I obviously realized this even as a beginning observer because I have observed this object with every telescope I have ever owned. In my 8" f/6 at 150X it showed the dual structure that made William Herschel assign it two numbers. When J.L.E. Dreyer was assembling the NGC he agreed and M-76 is NGC 650 and NGC 651. On a pretty sharp evening at a dark sky site, the 17.5" f/4.5 at 175X brings out several faint loops of nebulosity beyond the bright central bar. There are several dark lanes within the bright inner section. This is with a UHC filter. Without the filter M-76 is a light grey in color. An 18" f/6 makes the ends of the central part brighter than the middle and the 651 faint outer loops are easy with the filter. This is on a night I rated 8/10 for seeing and transparency at a very dark desert site over 100 miles from Phoenix. Years of exp
1444	PER	OPNCL	03 49.4	#ERROR!	6.6	4.0'	H VIII 80	Pretty faint, small, compressed, not rich, 14 stars counted at 165X, including a nice yellow-blue pair.
488	PSC	Sb	01 21.8	#ERROR!	11.5	6.0'X4.3'	H III 252	Pretty bright, pretty large, much brighter in the middle, round and has somewhat mottled arms at 135X.
524	PSC	E1	01 24.8	#ERROR!	12	3.5'X3.5'	H I 151	Bright, large, round, much brighter in the middle, a little mottled, with two companions in the field of view at 100X.
2489	PUP	OPNCL	07 56.2	-30 04	7.9	8.0'	H VII 23	Bright, pretty large, pretty rich, not compressed, 31 stars in nice chains counted at 100X. Seen in 11X80 finder.
2567	PUP	OPNCL	08 18.3	-30 38	7.4	10.0'	H VII 64	Pretty bright, pretty large, pretty rich, 42 stars counted at 135X. There are several nice, curved chains of stars within this cluster.
2571	PUP	OPNCL	08 18.9	-29 44	7	13.0'	H VI 39	Pretty bright, pretty large, pretty rich, somewhat compressed, 30 stars of mags 9 to 13 counted at 135X.
2539	PUP	OPNCL	08 10.7	-12 50	6.5	22.0'	H VII 11	Bright, large, rich, elongated 2X1, 65 stars of mags 10 to 13 counted at 100X. 19 PUP is on the south side of this cluster. It is a wide triple star, easy at 100X and yellow with two white comes.
2527	PUP	OPNCL	08 05.3	-28 10	6.5	22.0'	H VIII 30	Bright, very large, pretty rich, somewhat compressed, 36 stars of mags 9 to 13 fill the field with nice chains at 100X.
2509	PUP	OPNCL	08 00.7	-19 04	9.3	8.0'	H VIII 1	Bright, pretty large, pretty rich, compressed, 39 stars of mags 10 to 13 counted at 100X. This cluster can just be seen in the 11X80 finder.
2479	PUP	OPNCL	07 55.1	-17 43	9.6	7.0'	H VII 58	Pretty bright, pretty large, pretty rich, somewhat compressed, 10 stars of mags 11 and 12 with many faint backround stars at 100X.
2440	PUP	PLNNB	07 41.9	-18 13	11.5	54"X20"	H IV 64	Bright, pretty large, much brighter in the middle, elongated 3X1 in PA 30 at 270X. The central star will become stellar in moments of good seeing but most of the time it is just a bright area in the center of this planetary. Averted vision will about double the size of the nebula. It was immediately recognized as non-stellar at 100X. This nebula is a nice lime green at all powers.
2438	PUP	PLNNB	07 41.8	-14 44	11	65"	H IV 39	Bright, large, elongated 1.2 X 1 in PA 135, the central star is easy at 100X. Raising the power to 440X brings out several dimmer stars involved in the nebula. Also at the higher power the shape of the planetary is seen to be an incomplete ring, somewhat like a horseshoe. This bright rim is about 270 degrees around and is dimmest on the north side. I have always seen this planetary nebula as light green in color.
2423	PUP	OPNCL	07 37.1	-13 52	6.7	19.0'	H VII 28	Large, pretty bright, pretty rich, pretty compressed, 33 stars counted at 100X. Nice binary star in the center with both components a lovely dark yellow.
2421	PUP	OPNCL	07 36.3	-20 37	8.3	10.0'	H VII 67	Pretty bright, pretty large, pretty rich, somewhat compressed, 28 stars of mags 11 and dimmer counted at 135X.
2422	PUP	OPNCL	07 36.6	-14 30	4.4	30.0'	H VIII 38	Very bright, very large, not compressed, scattered group with several bright stars of 8th magnitude and more to fill in the backround, 44 stars counted at 100X. This nice cluster is easy in the 11 X 80 finder, there are several stars resolved. Struve 1121 is a double star near the center of M-47, it is a mag 7/7.5 pair, sep 7", it is easily split at 100X.
2482	PUP	OPNCL	07 54.9	-24 18	7.3	12.0'	H VII 10	Pretty bright, pretty large, pretty rich, somewhat compressed, 26 stars counted at 100X. This cluster has stars of mags 11 to 13 in an outline that is elongated 3X1 NW-SE.
2627	PYX	OPNCL	08 37.3	-29 57	8.4	11.0'	H VII 63	Bright, pretty large, pretty rich, pretty compressed, 32 stars of magnitudes 10 through 13 counted at 100X.
2613	PYX	Sb	08 33.3	-22 58	11	7.2'	H II 266	Pretty bright, pretty large, much brighter middle, very much elongated 5 X 1 in PA 110. This nice edge on is in a rich star field for galaxies.
253	SCL	Scp	00 47.5	-25 18	7.1	25'X7'	H V 1	is the star of the show in Sculptor. This very large and very bright galaxy was discovered by Caroline Herschel in 1783 during a comet search. From the Cape of Good Hope, her nephew John Herschel called it " a superb object" in the 18" reflector. This spiral is probably the closest galaxy to the Local Group. This object is easily seen in a finder or pair of binoculars. In the 8 incher at 100X this galaxy is over half of a 45' field and displays some mottling. At 130X there are many stellar spots near the core in moments of good seeing. In the larger instruments there are many dark lanes, with swirls and rifts prominent throughout the galaxy to a somewhat brighter core region.
288	SCL	GLOCL	00 52.8	-26 35	8.1	13.8'	H VI 20	is a welcome globular cluster as a break in all these galaxies. This globular is a large, low surface brightness object. It can be seen in 10x50 binoculars as a small, dim spot. The 8" at 100X will resolve 30 stars across the face of this cluster. The larger scopes help some, with more stars resolved. The cluster does not have a brighter core in any of our scopes. A.J. Crayon called it "irregularly round" in the 8". Steve Coe says "roundish" in the 17.5". It sounds as if you will have to go look for yourself.
613	SCL	Sbc	01 34.3	-29 24	11	5.8'X4.6'	H I 281	is pretty bright and quite elongated in the 8" at 80X. This scope will show the outer tips of the spiral arms curved as if to show off their motion. Neither of the larger scopes will bring out that detail. All three instruments will show a brighter core and a pretty bright star on the NE side of the galaxy.
6451	SCO	OPNCL	17 50.7	-30 13	8.2	8.0'	H VI 13	Bright, Pretty large, pretty rich, compressed, seen in the 8 X 50 finder, 50 stars resolved at 165X. There is a dark lane down the middle of this cluster.
6144	SCO	GLOCL	16 27.3	-26 02	9.1	9.3'	H VI 10	Pretty bright, large, compressed, somewhat brighter in the middle, 12 stars resolved across the mottled face of this globular at 135X. It is at the edge of a very dark nebula.
6664	SCT	OPNCL	18 36.7	-08 13	7.8	16.0'	H VIII 12	is pretty bright, pretty large, somewhat compressed and has 15 pretty bright stars with a sprinkling of dimmer members at 100X.
6712	SCT	GLOCL	18 53.1	-08 42	8.2	7.2'	H I 47	bright, little elongated, very rich, very compressed. Resolved at 100X, going to 165X brings out a myriad of dimmer members at the edge of resolution. This globular resides in a beautiful, rich Milky Way field that provides a lovely backround (foreground?).
6118	SER	Sb	16 21.9	-02 17	12	5'X2'	H II 402	Pretty faint, pretty large, somewhat brighter in the middle and elongated 2.5 X 1 in PA 60 at 100X. Averted vision helps with this low surface brightness object.
2974	SEX	Sa	09 42.6	-03 43	11.5	3.4'X2.1'	H I 61	Pretty bright, pretty small, elongated 1.5 X 1 in PA 90, somewhat brighter in the middle, a 10th mag star is in contact with the west side at 165X.
3115	SEX	E6	10 05.2	-07 43	10.1	8.3'X3.2'	H I 163	Bright, large, very much elongated 4 X 1 in PA 45, much brighter in the middle at 135X. It is just seen in the 11 X 80 finder. The center is a bright envelope that has an oval, very bright nucleus, all of which at elongated in the same PA as the main body of the galaxy.
3166	SEX	S(B)a	10 13.8	#ERROR!	11.1	5.0'X2.8'	H I 3	Bright, pretty large, round and much brighter in the middle at 100X. Brightest in a chain of 4 galaxies from NE to SW.
3169	SEX	Sb	10 14.2	#ERROR!	11.9	5.5'X3.0'	H I 4	Pretty bright, pretty large, elongated 1.5 X 1 in PA 45 and much brighter in the middle at 100X.
6568	SGR	OPNCL	18 12.8	-21 36	8.6	13.0'	H VII 30	Pretty bright, large, pretty rich, somewhat compressed, 33 stars within 10 arcmin at 100X, a nice globular of pretty faint stars.
6645	SGR	OPNCL	18 32.6	-16 54	8.5	10.0'	H VI 23	Bright, large, rich, pretty compressed, 49 stars counted at 100X. This cluster is in a bizarre "donut" shape with no stars in the center of this grouping.
6642	SGR	GLOCL	18 31.9	-23 29	8.8	4.5'	H II 205	is a pretty bright, pretty small globular that is somewhat elongated and very compressed with a bright middle. It is resolved at 165X.
6638	SGR	GLOCL	18 30.9	-25 30	9.2	5.0'	H I 51	is pretty bright, pretty small, round and much brighter in the middle. I could it to look very grainy, but it would not resolve at any magnification up to 320X.
6583	SGR	OPNCL	18 15.8	-22 08	10	2.8'	H VII 31	Pretty faint, pretty small, round, compressed, not rich, counted 12 stars at 220X.
6624	SGR	GLOCL	18 23.7	-30 22	8.3	5.9'	H I 50	is bright, pretty large and round. It has a very bright middle and is resolved at 165X. This a nice globular that doesn't get looked at much.
6818	SGR	PLNNB	19 44.0	-14 09	10	22"X15"	H IV 51	is a bright, pretty small and little elongated planetary. It is green at all powers. At 320X is looks somewhat like the CBS eye, with a subtle central bright spot that was never stellar. Three dim stars surround the nebula.
6569	SGR	GLOCL	18 13.6	-31 50	8.7	5.8'	H II 201	Bright, large, round, resolved 12 stars with a very grainy backround at 165X.
6544	SGR	GLOCL	18 07.3	-25 00	8.3	8.9'	H II 197	Pretty bright, pretty small, round, very compressed, 7 stars resolved at 220X. Averted vision makes it grow.
6540	SGR	OPNCL	18 06.3	-27 49	14.6	0.8'	H II 198	Pretty faint, small, round, not rich, very compressed at 165X. Three stars are resolved constantly and another 3 or 4 come and go with the seeing at 220X. This very compact cluster demands high power.
6528	SGR	GLOCL	18 04.8	-30 03	9.5	3.7'	H II 200	and 6522 are two globular clusters right at the tip of the spout of the Teapot. I see both as Pretty bright, pretty large, and bright in the middle. They reside in a nice MilKy Way field. What doesn't in Sagitarrius?
6522	SGR	GLOCL	18 03.6	-30 02	8.6	5.6'	H I 49	and 6528 are two globular clusters right at the tip of the spout of the Teapot. I see both as Pretty bright, pretty large, and bright in the middle. They reside in a nice MilKy Way field. What doesn't in Sagitarrius?
6520	SGR	OPNCL	18 03.4	-27 54	7.6	6.0'	H VII 7	is a pretty bright open cluster but it is pretty small with about 20 members at 165X.
6514	SGR	CL+NB	18 02.3	-23 02	6.3	28.0'	H V 10/11/12 & IV 41	(M20) Very bright, very large, irregularly round, approximately 40 stars involved in a nebula that is criss-crossed by dark lanes. The Trifid is naked eye from even a moderately dark site. The UHC filter enhanced the nebulosity, but I like the view of this object better without the filter.
6445	SGR	PLNNB	17 49.2	-20 01	13	35"X30"	H II 586	is a nice planetary, 20 minutes North Following 6440. It is pretty bright, Large and has a box shape at 200X. It shows a small dark lane at high power and is definatly not a 13th mag object as listed, I estimate 12.
6440	SGR	GLOCL	17 48.9	-20 22	9.7	5.4'	H I 150	is a rich globular cluster, pretty bright, pretty small and much brighter in the middle. It had ragged edges with 10 stars resolved.
6629	SGR	PLNNB	18 25.7	-23 12	10.5	16"X14"	H II 204	Pretty bright, small, round, central star seen at 270X. This light green disk is about three times the Airy disk on a night I rated 8/10.
6553	SGR	GLOCL	18 09.3	-25 54	8.3	8.1'	H IV 12	Bright, pretty large, much compressed, round, about 4 stars resolved at 135X. Averted vision helps.
1750	TAU	OPNCL	05 03.9	#ERROR!	99.9		H VIII 43	Bright, very large, not compressed, 14 stars in the 11 X 80 finder, about 60 stars in the 13" at 60X.
1817	TAU	OPNCL	05 12.1	#ERROR!	7.7	16.0'	H VII 4	Pretty bright, large, rich, 120 stars counted at 100X, many dim members.
1647	TAU	OPNCL	04 46.0	#ERROR!	6.4	45'	H VIII 8	Bright, very large, not compressed, pretty rich, this is a big, scattered group.
598	TRI	Sc	01 33.9	#ERROR!	7	73'X45'	H V 17	Very bright, pretty large, elongated 2 X 1 in PA 0, much brighter in the middle at 100X. M-33 is naked eye on the best of nights and obvious in the 10 X 50 binoculars. At 165X in the 13" there are several HII regions with dot the curving arms, including NGC 604 to the north of the nucleus. On a night I rated 8/10 at 5000 ft. elevation this beautiful spiral really showed off at 135X, the backround glow of M-33 sparkles with mottling and the gorgious arms winding about the compact core make an "S" shape that is ummistakeable.
5322	UMA	E2	13 49.2	#ERROR!	11.3	6'X4'	H I 256	Pretty bright, pretty large, elongated 1.5 X 1 in PA 90 at 100X. The center is quite bright at lower power, going to 200X shows a very bright middle with a nucleus that is almost stellar.
3998	UMA	GALXY	11 57.9	#ERROR!	11.2	3.0'X2.5'	H I 229	Pretty bright, pretty large, somewhat brighter in the middle, little elongated 1.2 X 1 in PA 45 at 135X. There is a extremely faint companion that can only be seen with averted vision and a hood over my head to block out stray light.
3898	UMA	Sa	11 49.2	#ERROR!	11.7	3.6'X2.1'	H I 228	and NGC 3898 form a matched galaxy pair that is about 5' apart. At 135X they are both pretty bright, pretty small, somewhat elongated in PA 60 and have a bright middle.
3938	UMA	Sc	11 52.8	#ERROR!	11	5.4'X5.1'	H I 203	Pretty bright, pretty large, round, brighter middle,some mottling at 100X.
3941	UMA	E3	11 52.9	#ERROR!	11.3	3.6'X2.5'	H I 173	Bright, pretty large, round, much brighter in the middle, averted vision makes it grow much larger at 135X.
3945	UMA	GALXY	11 53.2	#ERROR!	11.6	5.8'X3.6'	H I 251	Pretty bright, pretty small, round, brighter in the middle, two faint stars are involved at 135X. The core of this galaxy is easy, the outer sections are tough to detect.
3893	UMA	Sc	11 48.6	#ERROR!	10.6	4.6'X2.5'	H II 738	Pretty bright, pretty large, much brighter in the middle, irregularly round, some mottling at 100X.
3949	UMA	GALXY	11 53.7	#ERROR!	10.9	2.8'X1.7'	H I 202	Pretty brigtht, pretty large, somewhat elongated in PA 100, brighter in the middle, the companions was seen with averted vision only at 100X.
3953	UMA	SBb	11 53.8	#ERROR!	10.8	6.5'X3.4'	H V 45	Pretty bright, large, elongated in PA 0, very bright in the middle and mottled at 100X.
3982	UMA	GALXY	11 56.5	#ERROR!	11.6	2.4'X2.2'	H IV 62	Bright, pretty large, somewhat brighter in the middle at 100X. There is a line of three dimmer galxies to the north that just fits into the 30' field.
3992	UMA	SBb	11 57.6	#ERROR!	10.7	8.3'X4.6'	H IV 61	M 109 Pretty bright, large, elongated E-W with a very bright middle that becomes a bright nucleus at 135X. This galaxy has 3 stars involved in outer arms that sparkle with mottling.
4026	UMA	E8	11 59.4	#ERROR!	11.5	4.5'X1.1'	H I 223	Bright, large, elongated 3 X 1 N-S, with a somewhat brighter middle, it shows a nice lens shape at 135X.
4036	UMA	E6	12 01.5	#ERROR!	11.5	3.7'X1.8'	H I 253	Bright, pretty large, elongated 2.5 X 1 in PA 90, has a bright middle at 100X.
4041	UMA	GALXY	12 02.2	#ERROR!	11.6	2.8'X2.8'	H I 252	Pretty bright, pretty large, round, much brighter in the middle with an occaisonal stellar nucleus at 135X. NGC 4036 is a nice edge on galaxy to the south.
4051	UMA	Sb	12 04.2	#ERROR!	11.5	6.0'X5.0'	H IV 56	Pretty bright, large, elongated 2.5 X 1 in PA 120, has a bright nucleus and some mottling in thick arms at 165X.
4085	UMA	GALXY	12 05.4	#ERROR!	12.8	2.7'X0.8'	H I 224	Pretty faint, pretty large, elongated 2X1 in PA 90, somewhat brighter middle at 100X. NGC 4088 is 11' north and easily fits in the 30' field of the 20mm Erfle eyepiece.
4088	UMA	Sb	12 05.6	#ERROR!	11.2	5.9'X2.2'	H I 206	Bright, large and assymetrically elongated 3 X 1 in PA 45, somewhat brighter middle at 100X.
2768	UMA	E5	09 11.5	#ERROR!	12	1.6'X0.8'	H I 250	Pretty bright, pretty large, much brighter in the middle, very much elongated 3 X 1 in PA 90 at 100X.
5473	UMA	E2	14 04.8	#ERROR!	12.5	2.2'X1.7'	H I 231	Pretty faint, small, round, somewhat brighter in the middle, not much at 100X.
5474	UMA	Sc	14 05.1	#ERROR!	11.9	6.5'X5.3'	H I 214	Pretty faint, pretty large, not much brighter in the middle, round at 100X.
5631	UMA	Sa	14 26.6	#ERROR!	12.4	2.0'X2.0'	H I 236	Pretty faint, small, round, somewhat brighter in the middle, not much at 135X.
3877	UMA	Sc	11 46.1	#ERROR!	11.8	5.6'X1.2'	H I 201	Pretty bright, pretty large, much elongated in PA 35, much brighter middle at 100X. Chi UMA in the field.
4102	UMA	Sb	12 06.5	#ERROR!	11.8	3.2'X1.9'	H I 225	Pretty bright, pretty small, little elongated 1.5 X 1 in PA 110, brighter in the middle with a stellar nucleus at 135X. There is a 12th mag star to the east of the nucleus.
2985	UMA	Sb	09 50.3	#ERROR!	11.5	4.3'X3.3'	H I 78	Bright, pretty large, round, very bright middle at 165X. Grows much with averted vision, 11th mag star on East side.
3813	UMA	GALXY	11 41.3	#ERROR!	12.6	2.1'X1.2'	H I 94	Pretty bright, pretty large, elongated 2 X 1 PA 90, somewhat brighter in the middle at 135X. This galaxy has a pretty high surface brightness.
2841	UMA	Sb	09 22.0	#ERROR!	10.5	7.4'X3.5'	H I 205	Pretty bright, pretty large, Bright nucleus with several stars involved in northern arm at 135X.
2681	UMA	Sa	08 53.6	#ERROR!	11.5	3.8'X3.8'	H I 242	Pretty bright, pretty large, very much brighter in the middle with a stellar nucleus, little elongated 1.2 X 1 in PA 45 at 135X. There is a double star on the NW edge.
2742	UMA	Sc	09 07.6	#ERROR!	12.5	3.3'X1.7'	H I 249	Pretty faint, pretty large, little brighter in the middle, much elongated 2.5 X 1 in PA 110, this galaxy has a low surface brightness at 100X.
2787	UMA	Sap	09 19.3	#ERROR!	12	3.5'X2.3'	H I 216	Bright, pretty large, round, much brighter in the middle two faint stars invl. This galaxy has an 'r' in the NGC description which means somewhat resolved. I see this object looking much like a globular cluster hence the illusion of partial resolvability at 165X.
2976	UMA	Scp	09 47.3	#ERROR!	11.5	5.5'X3.0'	H I 285	Bright, pretty large, much elongated, somewhat brighter middle at 100X. Smooth outer section with 12th mag star on south side.
3034	UMA	Ip	09 55.8	#ERROR!	9.2	13'X6'	H IV 79	M 82 Very bright, very large, much elongated in PA 60, somewhat brighter middle at 165X. Dark lanes cut the galaxy into three almost equal parts. There are several stars invl. and the entire body of the galaxy is mottled.
3077	UMA	E2p	10 03.3	#ERROR!	10.7	6.0'X4.5'	H I 286	Bright, large, somewhat elongated and much brighter in middle at 165X. Very starry field for UMA.
3079	UMA	Sb	10 02.0	#ERROR!	11.2	8.7'X1.6'	H V 47	Bright, pretty large, very much elongated in PA 150, bright middle at 165X. A difficult dark lane comes and goes with the seeing. Two stars are invl on the north end. There is an extremely faint, round companion to the north about 5'.
3184	UMA	Sc	10 18.3	#ERROR!	10.4	8.5'X7.8'	H I 168	Pretty bright, pretty large, round, bright middle at 165X. 11th mag star on north side. There is a hint of spiral structure in moments of good seeing.
3631	UMA	GALXY	11 21.0	#ERROR!	11	6.0'X5.0'	H I 226	Pretty faint, pretty large, little elongated, much brighter middle with an almost stellar nucleus at 135X.
3310	UMA	GALXY	10 38.7	#ERROR!	11	3.8'X3.5'	H IV 60	Bright, pretty large, round, much brighter in the middle, this galaxy has a high surface brightness at 135X. There is a 6th magnitude star in the field.
3556	UMA	Sc	11 11.5	#ERROR!	10.7	8.8'X2.2'	H V 46	M 108 Bright, large, very much elongated in PA 80 at 100X. Even at 200X, this is the most stellar nucleus I remember seeing.
3610	UMA	GALXY	11 18.4	#ERROR!	11.4	3.2'X3.2'	H I 270	Bright, pretty large, round, bright middle at 165X. Stellar nucleus appears in good seeing. A companion in 4' away in PA 230, I can just pick it out with averted vision.
3613	UMA	GALXY	11 18.6	#ERROR!	11.6	3.4'X1.8'	H I 271	Pretty bright, pretty large, somewhat elongated in PA 120 at 100X. NGC 3619 is in the field at low power.
3619	UMA	SO	11 19.4	#ERROR!	12.6	4.0'X3.0'	H I 244	Pretty bright, pretty small, little elongated 1.5 X 1 in PA 90, somewhat brighter in the middle at 135X. There is a very faint and round companion to the east.
3675	UMA	GALXY	11 26.1	#ERROR!	10.4	6.8'X3.5'	H I 194	Bright, pretty large, much elongated in PA 0 with a much brigther middle at 100X. Going to 165X brings out a stellar nucleus and several stars involved.
3726	UMA	Sc	11 33.3	#ERROR!	11.2	6.1'X4.1'	H II 730	FAint, pretty large, somewhat elongated in PA 0, somewhat brighter middle at 100X.
3665	UMA	GALXY	11 24.7	#ERROR!	11.6	3.5'X3.0'	H I 219	Pretty bright, pretty large, brighter in the middle with a stellar nucleus, little elongated 1.2 X 1 in PA 60 at 135X. Companion to the south.
3198	UMA	Sc	10 19.9	#ERROR!	10.7	10.0'X3.8'	H I 199	Pretty bright, pretty large, much elongated PA 50 at 165X. Appears to abruptly end on one side.
3729	UMA	SBp	11 33.8	#ERROR!	12.2	3.4'X2.4'	H I 222	Pretty bright, large, elongated, brighter middle. Double star, both 10th mag on South side.
2950	UMA	Sap	09 42.6	#ERROR!	12.5	1.3'X0.9'	H IV 68	Pretty bright, small, little elongated 1.2 X 1 in PA 135, very bright in the middle with a stellar nucleus at 135X.
6217	UMI	Sc	16 32.6	#ERROR!	12.5	3.6'X3.6'	H I 280	Pretty bright, pretty large, elongated 3X2 and somewhat brighter in the middle at 100X. There is a stellar nucleus at 165X.
4754	VIR	SO	12 52.4	#ERROR!	12	2.5'X1.0'	H I 25	Pretty bright, pretty large, round, brighter middle at 100X.
4762	VIR	SO	12 53.0	#ERROR!	11.1	9.0'X2.0'	H II 75	Bright, large, much elongated 4 X 1 in PA 30, bright middle, hint of a dark lane at 165X.
4845	VIR	Sa	12 58.1	#ERROR!	12.9	5.2'X1.3'	H II 536	Pretty bright, pretty large, somewhat brighter middle, much elongated 3 X 1 in PA 75 at 100X.
4781	VIR	SBc	12 54.4	-10 32	11.8	3.5'X1.8'	H I 134	Pretty bright, large, much brighter middle, much elongated 2 X 1 in PA 110 at 100X. Two 11th mag stars are involved on the west side.
4753	VIR	GALXY	12 52.4	-01 12	11.7	4.5'X2.5'	H I 16	Pretty bright, pretty large, much brighter middle, much elongated 2.5 X 1 in PA 0 at 100X.
4699	VIR	GALXY	12 49.1	-08 40	10.5	3.5'X2.7'	H I 129	Pretty bright, pretty large, much brighter middle, round, has a bright central nucleus at 135X. This high surface brightness galaxy grows with averted vision.
4698	VIR	GALXY	12 48.5	#ERROR!	12.1	3.5'X1.8'	H I 8	Pretty bright, pretty large, much brighter middle, much elongated 2 X 1 in PA 165 at 100X. It is between two 11th mag stars.
4666	VIR	Sc	12 45.2	-00 27	12	4.5'X1.4'	H I 15	Pretty bright, pretty large, bright middle with a stellar nucleus at 165X. Much elongated 2.5 X 1 in PA 45. There is a nice, delicate triple star to the south.
4665	VIR	GALXY	12 45.2	#ERROR!	12.4	4.5'X4.5'	H I 142	Pretty bright, pretty large, much brighter middle with an almost stellar nucleus, little elongated 1.2 X 1 in PA 0. There is a 10th mag star to the SW.
4856	VIR	GALXY	12 59.3	-15 02	11.4	4.6'X1.6	H I 68	Pretty bright, pretty large, much brighter middle with an almost stellar nucleus, much elongated 2.5 X 1 in PA 45 at 100X.
4697	VIR	GALXY	12 48.6	-05 48	10.2	6.0'X3.8'	H I 39	Bright, large, elongated 1.8 X 1 in PA 45 at 100X, much brighter middle, almost stellar nucleus. Averted vision makes it grow in size.
4866	VIR	SO	12 59.4	#ERROR!	11.9	6.0'X1.3'	H I 162	Bright, large, much brighter middle with a stellar nucleus, very much elongated 5 X 1 in PA 90. There is an 11th mag star in PA 300 from the nucleus, it is about the same magnitude as the nucleus at 135X.
4900	VIR	GALXY	13 00.7	#ERROR!	12.8	2.5'X2.5'	H I 143	Pretty bright, pretty large, little brighter in the middle, round, 10th mag star in PA 135 at 100X.
4958	VIR	E6	13 05.7	-08 01	11.4	4.1'X1.4'	H I 130	Pretty bright, pretty small, much brighter middle, an almost stellar nucleus in the center and very much elongated 4 X 1 in PA 20. This is a nice lens shaped galaxy at 135X.
4995	VIR	Sb	13 09.6	-07 50	11.9	2.5'X1.7'	H I 42	Pretty bright, pretty large, much brighter middle, round at 100X.
5054	VIR	Sb	13 16.9	-16 39	11.5	5'X3.1'	H II 513	Pretty faint, pretty large, brighter middle, elongated 1.8 X 1 in PA 45 at 100X.
5363	VIR	Ep	13 56.2	#ERROR!	11.4	5.5'X3.5'	H I 6	pretty bright, pretty large, round and much brighter middle. Near a 9th mag star. This is brightest of group.
5364	VIR	Sb+p	13 56.3	#ERROR!	13.2	7.2'X5.5'	H II 534	pretty faint, pretty large, round, somewhat brighter middle. Very mottled arms on this face on with low surface brightness.
5566	VIR	Sb+	14 20.4	#ERROR!	12	6.2'X2.3'	H I 144	Pretty bright, pretty large, much brighter middle with an almost stellar nucleus, elongated 3 X 1 in PA 30 at 100X.
5576	VIR	E2	14 21.1	#ERROR!	12.3	3.0'X2.3'	H I 146	Pretty bright, pretty large, much brighter middle, round at 100X. The companion is pretty bright, pretty small and elongated, it is 5 arcmin to the SW of 5576.
4660	VIR	E5	12 44.6	#ERROR!	12.1	2.4'X2.1'	H II 71	Pretty bright, small, round, much brighter middle at 100X.
5746	VIR	Sb	14 45.0	#ERROR!	12.3	7.4'X1.1'	H I 126	bright, large, much brighter middle, much elongated north-south. There is an obvious central bulge at 135X. A dark lane cuts across the galaxy in moments of good seeing.
4527	VIR	GALXY	12 34.2	#ERROR!	12.4	6.5'X2.2'	H II 37	Bright, pretty large, much elongated 3 X 1 in PA 60, much brighter middle, companion to the north is faint, small and round. This galaxy is a nice edge on at 135X.
5846	VIR	E0	15 06.5	#ERROR!	11.9	3.0'X3.0'	H I 128	Pretty bright, pretty large, round, much brighter middle at 100X. There are two other galaxies in the field and a nice white and blue double star 5 arcmin west.
5634	VIR	GLOCL	14 29.6	-05 59	11	4.9'	H I 70	bright, pretty large, not compressed globular cluster among all these galaxies. It is easy to find at 100X. 2 stars are resolved at 175X.
4429	VIR	Sa	12 27.5	#ERROR!	11.4	5.5'X2.5'	H II 65	Pretty bright, pretty large, much brighter in the middle with an almost stellar nucleus, very much elongated 3 X 1 in PA 110 at 110X. There is a 10th mag star 5 arcmin to the north.
4030	VIR	Sb	12 00.4	-01 05	12.4	4.2'X3.2'	H I 121	Pretty bright, pretty large, much brighter in the middle, Elongated 1.5 X 1 in PA 0 at 135X. This is a high surface brightness galaxy with a 12th mag star to the north and a double star to the south which bracket the galaxy.
4179	VIR	E8	12 12.9	#ERROR!	12.8	3.8'X1.0'	H I 9	Pretty bright, pretty large, much brighter in the middle, much elongated 3 X 1 in PA 135, this is a nice edge on at 135X.
4216	VIR	Sb	12 15.9	#ERROR!	11.2	8.5'X1.7'	H I 35	pretty bright, large, much elongated with a very bright middle at 100X. The fascinating thing about this object is that it is within a 30' field of two other edge on galaxies. The northernmost is extremely faint, pretty small, very much elongated and not brighter in the middle. The southernmost is faint, pretty small, much elongated and somewhat brighter in the middle. With 4216 in the center of this array of spindle shaped galaxies, this is a spot that fascinated me.
4261	VIR	E2	12 19.4	#ERROR!	12	3.5'X3.0'	H II 139	and 4260 are in the same field at 100X. 4260 is pretty faint, pretty small and elongated. 4261 is pretty bright, pretty large, round and much brighter in the middle, it has a very faint companion about 5' away.
4273	VIR	Sc	12 20.0	#ERROR!	12.3	2.5'X1.2'	H II 569	is pretty bright, pretty small, much brighter in the middle and little elongated.
4281	VIR	GALXY	12 20.4	#ERROR!	12.5	2.5'X1.2'	H II 573	is pretty bright, pretty large, somewhat brighter in the middle and elongated 2X1.
4303	VIR	Sc	12 22.0	#ERROR!	10.9	6.6'X6.4'	H I 139	(M 61) is bright, large, irregularly round, much brighter in the middle and has a distinct nucleus using powers from 135X to 200X. The arms are mottled and in moments of good seeing some spiral structure can be seen. This observation was made in the central mountains of Arizona on a night I rated 7/10 for seeing and 8/10 for contrast. 4301 is a companion and is very faint, small, round and not brighter in the middle. Averted vision helps pick out this dim galaxy.
