Sharpless Index,Description
187,"This young (100-200 thousand years) star formation region is most likely ionised by a B0 class star and is surrounded by a 4600 solar mass molecular cloud. It is partially obscured by the Lynds dark nebula LDN 1317 and contains the infrared star cluster [BDS2003] 52.Russeil lists three potential ionising stars, one with a B2.5V class.You can view a good visual image here of this rarely photographed object and a fuzzy hydrogen-alpha image created from IPHAS data here.This nebula is prominent in infrared as can be seen in this MSX image."
188,"This is a planetary nebula with an expansion age of 7500 years.You can view a more detailed image of this nebula here.Phil Plait calls this the ""Firefox Nebula""."
189,"This faint and distant purple ball is a planetary nebula also called Abell 3."
190,"The Heart nebula is ionised by the IC 1805 star cluster, which is part of the Cas OB6 association, and is the location of the W3 / W4 radio sources. Avedisova places this nebula in star formation region SFR 133.69+0.99 with 86 components including 11 masers. IC 1805 contains at least 10 O-class stars including 3 extremely rare ultra-hot O4 and O5 class stars.The correct distance to the W3 (OH) star formation region within Sh 2-190 has been measured with incredible accuracy using radio parallax as 2070 +10 / -20 pc.For more information see the Heart and Soul (140Â° - 130Â°) sector description in the Commentary on the Galactic Plane.You can view a stunning image of the larger Heart and Soul region here."
191,"Most of the visual luminosity in this direction comes from the giant elliptical galaxy Maffei 1. The Milky Way HII region WB89 431 is visible nearby, especially in infrared."
192,"Sh 2-192, Sh 2-193, and Sh 2-194 form a small nebular group near the Heart and Soul complex of star formation regions. Sh 2-192 appears as a classic Stromgren sphere. The others are irregular nebular patches. Avedisova places all three in the star formation region SFR 136.09+2.10.Russeil concludes that Sh 2-192, Sh 2-193 and possibly Sh 2-196 (but not Sh 2-194) are part of the same star formation region and identifies separate B2.5 V class ionising stars for Sh 2-192 and Sh 2-193. Sh 2-192 contains the infrared star cluster [BDS2003] 57.You can view a WISE infrared image of this region here."
193,"Sh 2-192, Sh 2-193, and Sh 2-194 form a small nebular group near the Heart and Soul complex of star formation regions. Sh 2-192 appears as a classic Stromgren sphere. The others are irregular nebular patches. Avedisova places all three in the star formation region SFR 136.09+2.10. Russeil concludes that Sh 2-192, Sh 2-193 and possibly Sh 2-196 (but not Sh 2-194) are part of the same star formation region and identifies separate B2.5 V class ionising stars for Sh 2-192 and Sh 2-193. Sh 2-193 contains the newly discovered star cluster candidate Teutsch 162.You can view a WISE infrared image of this region here."
194,"Sh 2-192, Sh 2-193, and Sh 2-194 form a small nebular group near the Heart and Soul complex of star formation regions. Sh 2-192 appears as a classic Stromgren sphere. The others are irregular nebular patches. Avedisova places all three in the star formation region SFR 136.09+2.10.Russeil concludes that Sh 2-192, Sh 2-193 and possibly Sh 2-196 (but not Sh 2-194) are part of the same star formation region.You can view a WISE infrared image of this region here."
195,"Avedisova places Sh 2-195 in the star formation region SFR 136.26-0.42 along with the prominent infrared source and pulsating variable M2 Iab supergiant GP Cas.Humphreys places GP Cas in the Per OB1 association at a distance of 2290 parsecs.A hydrogen-alpha image created using IPHAS data reveals extremely faint nebular patches near this direction (possibly partially associated with the galaxies Maffei 1 and 2) but no nebulosity in the direction of Sh 2-195 itself. It seems possible that Sh 2-195 is not an HII region but is merely faint nebulosity seen in the general direction of GP Cas."
196,"According to one source, this HII region, which is most likely ionised by a B2.5 V class star, lies at the edge of a 1000 solar mass molecular cloud in a similar direction to the Sh 2-192 to Sh 2-194 group of nebulae. According to a 2007 paper by Russeil, Sh 2-196 may lie at the same distance as Sh 2-192 and Sh 2-193 (2400 +/- 320 parsecs), however she has identified a possible O9.5 class ionising star with a photometric distance of 5670 +/- 590 parsecs, suggesting that it may be much further away than the other nebulae.Avedisova places Sh 2-196 in star formation region SFR 136.45+2.53 with 21 components, including the radio source KR 147B, 4 masers and 9 infrared sources. Among the infrared sources are three distinct young stellar objects."
197,"This is the galaxy Maffei 2."
198,"Avedisova concludes that Sh 2-198 is ionised by the O9.5 V star LS I +59 153. This star is part of the cluster IC 1848 which also ionises the much larger Sh 2-199 (W5) HII region.Avedisova places Sh 2-198 in the star formation SFR 137.39+0.19 along with a hydroxyl maser and two young stellar objects."
199,"Often called the Soul nebula by amateur astronomers, the infant-shaped Sh 2-199 is ionised by stars belonging to the IC 1848 cluster and is also the location of the radio source W5. Like the Heart nebula (Sh 2-190) and surrounding smaller nebulae, Sh 2-199 is embedded in the Cas OB6 association.Kharchenko gives a distance of 2002 parsecs and an age of 4.4 million years for IC 1848 and lists 5 ionising stars: HD 17505 (O7, although SIMBAD gives an O6Ve class), HD 17520 (O9V), HD 237019 (O8V), HD 237007 (B0V), and HD 237011 (B2, although SIMBAD gives a slighter hotter B1.5 class). Avedisova places Sh 2-199 and Sh 2-201 in star formation region SFR 137.57+1.08, with 65 components, including 16 infrared sources, 2 masers and 4 young stellar objects.For more information see the Heart and Soul (140Â° - 130Â°) sector description in the Commentary on the Galactic Plane.You can view a stunning image of the larger Heart and Soul region here. NASA has released a spectacular infrared image of the W5 region (including most of Sh 2-199) here."
200,"This is the planetary nebula HDW 2 with an A class central star."
201,"Sh 2-201 is a small HII region adjacent to the Soul nebula, Sh 2-199. It is ionised by the infrared star cluster [BDB2003] G138.50+01.64 which includes an O6-O8 class star, 2MASS J03031615+6027502.Infrared data suggests that Sh 2-201 is physically attached to Sh 2-199, the Soul nebula, as can be seen in this MSX image.You can view an interesting radio frequency image of Sh 2-201 here."
202,"Sh 2-202 is a large diffuse nebula that appears to surround the ionising star cluster Stock 23, which lies in the direction of the enormous Cam OB1 association. According to a 2003 study, Sh 2-201 contains low mass young stellar objects in a carbon monoxide cloud.Kharchenko gives a distance of 380 pc and an age of 32,3 million years for Stock 23, She lists HD 237091 (B1:V:nnpe) and HD 20134 (B2.5IV-V) as probable members.Avedisova places Sh 2-202 in star formation region 140.59+1.91 along with the young stellar objects WB89 474 and [TRC83] 5 as well as the infrared source IRAS 03144+5932.This nebula and some of the ionising stars in this direction can be seen in this false-colour hydrogen-alpha image. You can see a good visual frequency image of Sh 2-202 here."
203,"This extended diffuse HII region may be ionised by the B class star LS I +55 47. Russeil combines Sh 2-203 with the better known nebula BFS 31 into one star formation region.Avedisova also combines Sh 2-203 and BFS 31 into the star formation region 143.51-1.86 and in addition adds the HII region Mol 5 and numerous other infrared and radio sources.You can view a better image of Sh 2-203 here."
204,"Avedisova says that Sh 2-204 is likely ionised by four O-class stars that are part of the Cam OB3 association. These are BD +56 864 (O6 V), HD 24372 (O9.5 Ib), Hiltner 52 (O7.5 V) and BD +56 866 (O9 V).The reference to HD 24372 appears to be an error because SIMBAD lists this as a F5V star in a completely different direction. Presumably Avedisova meant HD 237211 as this is a O9.5Iab star in the direction of Cam OB3. SIMBAD gives a cooler B0.5IV class for Hiltner 52.The distance estimates from Avedisova and Russeil both place this nebula beyond the Perseus arm and possibly associate it with the Norma/Outer arm. However, a 2005 study connects Sh 2-204 to the much closer Cam OB1 association.You can see a much better visual frequency image here."
205,"Both Sharpless and Avedisova list the O9 class multiple star HD 24431 as the main ionising star for the large diffuse Sh 2-205, sometimes called the Peanut nebula. Avedisova also lists two cooler B-class ionising stars. A recent series of papers divides the nebula into three distinct regions (although at similar distances), with the B-stars ionising a different region than HD 24431. They also suggest that CY Cam (HD 24094) may be an O8.5 or O9 star instead of the usually suggested much cooler B8 and may be the main ionising star of LBN 148.11-0.45 (LBN 696) in this direction.A 2011 paper states that CY Cam is a B1 III giant.Like Sh 2-202, this nebula lies at the edge of the Cam OB1 association.This false-colour hydrogen-alpha image reveals that Sh 2-205 is the brightest region of an even larger nebula.You can see an infrared image here and a false colour visual frequency image here."
206,"NGC 1491 is an older, evolved HII region ionised by the O5 star BD +50 886. SIMBAD gives a slightly cooler O6 class for this star.Contains the infrared star cluster [BDS2003] 62.A very good visual frequency image of this nebula is available here and a recent WISE infrared image here (Sh 2-206 (NGC 1491) is on the right)."
207,"Despite its appearance, this is an HII region ionised by an O9.5 IV star (MFJ SH 2-207 1) and not a planetary nebula.Avedisova places Sh 2-207 and Sh 2-208 together in the star formation region SFR 151.32+1.99 along with the radio source KR 198."
208,"According to the Reed catalog, there are at least three ionising stars in the direction of Sh 2-208: MFJ SH 2-208 3 (O9.5V), LS V +52 19 (O9.5 V) and MFJ SH 2-208 6 (B0V)The nebula also contains the optical cluster Waterloo 1 and the infrared cluster [BDS2003] 64.Avedisova places Sh 2-207 and Sh 2-208 together in the star formation region SFR 151.32+1.99 along with the radio source KR 198."
209,"This large and dusty star formation region in the outer galaxy contains the infrared star cluster [BDS2003] 65.Avedisova places Sh 2-209 in star formation region 151.60-0.24 with 14 components including a water maser, the young stellar object IRAS 04064+5052 (CPM 12) and numerous infrared and radio sources.Chini and Wink find three ionising stars: [CW84] S209-1 (B1III), [CW84] S209-2 (O9 III), and [CW84] S209-3 (B1).This MSX infrared image shows that Sh 2-209 appears to be the brightest spot on the edge of a bubble, which is confirmed by this recent WISE infrared image (Sh 2-209 is at the left)."
210,"There is, remarkably, essentially nothing in the scientific literature about this nebula even though it is prominent in hydrogen-alpha and visible at radio and infrared frequencies as well.Avedisova places Sh 2-210 in star formation region 152.81+2.90 with four infrared sources and the radio source RRF 1605. None of these objects have any scientific references either.Sh 2-210 lies in the direction of a larger diffuse nebulosity containing several B-class stars. Sh 2-207, Sh 2-208 and Lynds dark nebula LDN 1407 (Barnard 12) also appear in the direction of this diffuse nebulosity, although apparently are located at different distances."
211,"Sh 2-211 is located high above the galactic plane in the outer galaxy. It contains infrared cluster [BDS2003] 66 and may be embedded in the same CO cloud as Sh 2-212.I've created a good image of Sh 2-211 using IPHAS data."
212,"Sh 2-212 is located high above the galactic plane in the outer galaxy. It contains the star cluster NGC 1624 and may be embedded in the same CO cloud as Sh 2-211. It is associated with a 14 solar mass young stellar object visible near the ionisation ridge at the northwest edge of the nebula.Avedisova concludes that Sh 2-212 is ionised by two uncatalogued stars, of classes O6.5 V and B0 V. These appear to be recorded in SIMBAD as MFJ SH 2-212 2 (O5.5) and MFJ SH 2-212 4 (B0)."
213,"Sh 2-213 may be a very faint Stromgren sphere around a B4 class star in the cluster Berkeley 11. If so, it likely lies at a distance of 2100 parsecs."
214,"Beyond a short string of red pixels (which could be an artifact of the photographic plate) there is no visible nebulosity in this image. Avedisova places this object in star formation region SFR 157.59-3.91 along with the young T Tauri star IRAS 04172+4411. Beyond this association, there is essentially nothing in the scientific literature on this region."
215,"Avedisova places this local hairpin shaped molecular cloud in star formation region SFR 158.32-5.67 with the cool M5-class star HD 276164."
216,"This is the closest known planetary nebula and one of the oldest. According to SIMBAD, the central star is the white dwarf ALS 8032.A good image of this nebula is here."
217,"The 4 million year old HII region Sh 2-217 is ionised by the O9.5 V star LS V +47 24.Russeil places Sh 2-217 in the same star formation complex as Sh 2-219 and BFS 44."
218,"Very faint and diffuse nebula. Avedisova places Sh 2-218 in star formation region SFR 159.54+11.29 along with the dark nebula LDN 1460. BFS does not give a distance estimate for this object but in their notes describe it as a ""bright dark cloud"".The direction high above the galactic plane and the association with a dark nebula suggests a local dust cloud, but there are no significant references in the scientific literature to confirm this.The nebula is visible in infrared as can be seen in this WISE image."
219,"Avedisova concludes that Sh 2-219 is ionised by the stars LS V +47 24 (O9.5 V) and LS V +47 22 (B0 V).The nebula is very young - perhaps only about 100 thousand years old. There is also an embedded star cluster to the southwest and a nearby 2000 solar mass molecular cloudRusseil places Sh 2-219 in the same star formation complex as Sh 2-217 and BFS 44."
220,"This is the California nebula (NGC 1499), which is ionised by the O7.5 III giant Menkhib (Xi Persei) in the Per OB2 association within the California molecular cloud. Avedisova places the California nebula in star formation region SFR 160.00-12.31 with 17 components. Among these are the dark nebula LDN 1449, five infrared sources and several reflection nebulae, including GM 1-14 and VDB 24. VDB 24 includes the young Orion-type variable star XY Per.Avedisova also places Sh 2-220 in SFR 173.50-15.0 (the Taurus dark clouds). It is highly unusual for Avedisova to place the same nebula into two star formation regions (perhaps one of these is an error?).This region is indeed part of the local Taurus dust cloud complex (which also extends in the direction of the constellation Perseus). You can see an interesting large scale image of this region in infrared (part of the Milky Way Explorer). This is part of the Gould Belt, our local region of the Milky Way.You can view an astonishing narrow-band false colour image of the California nebula here."
221,"This prominent supernova remnant, better known as HB9 (SNR G160.4+02.8), is visible both at hydrogen alpha and radio frequencies.It is incorrectly listed by SIMBAD as an HII region."
222,"Also called NGC 1579 and informally the ""Trifid of the North"", this dusty reflection nebula contains a cluster of about 5 bright B class stars and 35 other stars. The cluster is dominated by the massive young star LkHÎ± 101.You can see a good image of this nebula here."
223,"This is the radio source OHIO A 184 (normally referred to in the scientific literature as OA 184).BFS describe Sh 2-223 as a supernova remnant and reference a 1972 paper, which identifies the object at this location as OA 184. SIMBAD contains separate entries for OA 184 and Sh 2-223 but this appears to be incorrect.A 2006 paper concludes that OA 184 is not a supernova remnant but an HII region ionised by the O7.5 V star BD +41 1144 at a distance of 2200 +/- 400 parsecs."
224,"This is the supernova remnant SNR 166.0 +4.3, which is visible at both hydrogen-alpha and radio frequencies. SIMBAD maintains separate entries for SNR 166.0 +4.3 and Sh 2-224, but this seems incorrect according to the scientific literature.One study estimates the age as 81 thousand years.A much better image of this object can be found here."
225,"The HII region Sh 2-225 contains the young stellar object candidate IRAS 05235+4033 and is ionised by the O9 V star LS V +40 46."
226,"Little appears in the scientific literature about this nebula. It is more prominent at radio and infrared frequencies than hydrogen-alpha, suggesting that it is visually obscured. Avedisova places it in star formation region SFR 168.48-0.97 with two masers. It is near in the sky to the better studied Sh 2-228 and has a roughly similar distance estimate. Both nebulae appear to lie behind the Aur OB1 association in the outer galaxy."
227,"Avedisova concludes that this little-studied nebula is ionised by the O9 V star LS V +38 12. It appears behind the western edge of the Aur OB1 association in the outer galaxy.A much better image appears here."
228,"Sh 2-228 contains the infrared star cluster [IBP2002] CC01. The 1800 solar mass cluster is 1 to 2 million years old, and the surrounding field stars about 5-6 million years old."
229,"The Flaming Star nebula (IC 405) is a reflection nebula and HII region ionised by the runaway O9.5Ve class multiple star AE Aurigae.Research suggests that AE Aurigae was ejected from the Orion star formation region about 2.5 million years ago.The Skyfactory site has a spectacular image of this region here."
230,"This enormous diffuse nebula appears in the direction of the Aur OB1 and Aur OB2 associations in the outer galaxy. Only a small detail of this nebula is shown in the accompanying image.Avedisova lists 3 B-class ionising stars, including the B0.5IV double subgiant HD 35633. She places it in the star formation region 172.97-1.31 along with the infrared source and HII region [DZC2005] Z and the star cluster NGC 1907.You can view images of this nebula here."
231,"According to Avedisova, this visually faint nebula is ionised by the O9.5V class star LS V +35 24. Avedisova combines Sh 2-231 and Sh 2-233 into a single star formation region, 173.37+2.55, that contains 7 masers and numerous young stellar objects.Sh 2-231 to Sh 2-235 form a complex of HII regions located together in the Perseus arm in the outer galaxy. This complex may be associated with an old (330 thousand years) supernova remnant, FVW 172.8+1.5.There is a giant molecular cloud, G174+2.5, containing Sh 2-231, Sh 2-232, Sh 2-233, and Sh 2-235 that is at a distance of about 1800 pc."
232,"This peculiar belted nebula is ionised by two giant stars: the O9.5 III HD 37737 and an anonymous B0 II class star according to Avedisova.HD 37737 may be a runaway star and is a close binary with a period of 7.84 days.Sh 2-231 to Sh 2-235 form a complex of HII regions located together in the Perseus arm in the outer galaxy. This complex may be associated with an old (330 thousand years) supernova remnant, FVW 172.8+1.5.There is a giant molecular cloud, G174+2.5, containing Sh 2-231, Sh 2-232, Sh 2-233, and Sh 2-235 that is at a distance of about 1800 pc."
233,"The visually obscured Sh 2-233 contains the high-mass proto star cluster IRAS 05358+3543 (Sh 2-233 IR).Avedisova combines Sh 2-231 and Sh 2-233 into a single star formation region, 173.37+2.55, that contains 7 masers and numerous young stellar objects.Sh 2-231 to Sh 2-235 form a complex of HII regions located together in the Perseus arm in the outer galaxy. This complex may be associated with an old (330 thousand years) supernova remnant, FVW 172.8+1.5.(Sh 2-235 is the bright nebula dominating the left side of this image.)There is a giant molecular cloud, G174+2.5, containing Sh 2-231, Sh 2-232, Sh 2-233, and Sh 2-235 that is at a distance of about 1800 pc."
234,"This is IC 417, sometimes called the Spider nebula. Sharpless 2-234 and 2-237 are together sometimes called the Spider and the Fly.IC 417 surrounds the star cluster Stock 8. Avedisova gives two ionising stars: HD 35619 (O7V) and BD +34 1054 (B0 IV). SIMBAD gives O9.5V for this second star.Sh 2-231 to Sh 2-235 form a complex of HII regions located together in the Perseus arm in the outer galaxy. This complex may be associated with an old (330 thousand years) supernova remnant, FVW 172.8+1.5."
235,"This kidney-shaped HII region is the intersection point of two massive giant molecular clouds (100 thousand and 300 thousand solar masses respectively) with intense star formation. Infrared analysis using the Spitzer space telescope has found 86 young stellar objects within Sh 2-235.One of these molecular clouds, G174+2.5, contains Sh 2-231, Sh 2-232, Sh 2-233, and Sh 2-235 and lies at a distance of about 1800 pc.Sh 2-235 is ionised by the O9.5 V star BD +35 1201. Avedisova places this nebula in star formation region SFR 173.61+2.80 with 54 components, including 7 masers, the smaller HI region BFS 46 and several Herbig-Haro objects.Sh 2-231 to Sh 2-235 form a complex of HII regions located together in the Perseus arm in the outer galaxy. This complex may be associated with an old (330 thousand years) supernova remnant, FVW 172.8+1.5.You can view a larger visual frequency image of Sh 2-235 here and an infrared image here."
236,"Lying at the core of the Aur OB2 association, the great HII region IC 410 (associated with the radio source W8) surrounds the star cluster NGC 1893 and is sometimes called the Tadpole nebula because of tadpole like structures (the nebulae Sim 129 and Sim 130) visible in detailed images. Avedisova lists 5 ionising stars (including 4 O-class stars). The hottest of these is the O5 V star HD 242908. She places Sh 2-136 in the star formation region SFR 173.63-1.70 along with the young stellar object IRAS 05198+3325.A 2002 study states that NGC 1893 contains ""at least five O-type stars"".There is an enormous range of distance estimates for NGC 1893. The most recent estimates appear to be converging around 3500 pc, consistent with a location in the Perseus arm."
237,"Sometimes called the Fly nebula, this nebula surrounds the open cluster NGC 1931. Sharpless 2-234 and 2-237 are together sometimes called the Spider and the Fly.Avedisova lists two B0 V class ionising stars: LS V +34 46 and LS V +34 47.A more detailed image of Sh 2-237 is here."
238,"Hind's nebula (NGC 1555, HH 155) is a Herbig-Haro nebula surrounding the young G5V class T Tauri triple variable star system within the Taurus dark cloud complex, which is inside the Gould belt, our local galactic neighbourhood."
239,"Sh 2-239 is not a HII region but a reflection nebula and a collection of Herbig-Haro objects embedded in the dark cloud LDN 1551. The brightest part of Sh 2-239 is catalogued as the Herbig-Haro object HH 102. It is located near the star T Tauri within the Taurus dark cloud complex, which is inside the Gould belt, our local galactic neighbourhood."
240,"This is the supernova remnant Sim 147 (SNR 180.0-01.7). Visit this site or this site for better and more comprehensive images of Sim 147."
241,"This nebula is ionised by the O9V star LS V +30 31. The nebula is a blister on the side of a molecular cloud. This field also contains the reflection nebula vdB 65, which is a completely unrelated object at 1100 parsecs.Avedisova places this nebula in star formation region 180.90+4.13 with two water masers and the emission star MWC 790.You can view a more detailed image here."
242,"According to Avedisova, this HII region is ionised by the B0 V class star BD +26 980. The distance estimates place it in the Perseus arm."
243,"There is no visible nebulosity on this image, no known ionising stars in this direction, nor has anything been detected at radio frequencies. It is not clear whether this object actually exists."
244,"This is the Crab nebula supernova remnant (M1), the remains of a star known to have exploded in the year 1054."
245,"Sometimes called the Fishhook nebula, Sh 2-245 is one of the largest nebulae in apparent extent in the Sharpless catalog. It appears as a bright hydrogen-alpha ridge towards the southern end of the Orion-Eridanus superbubble. The Orion-Eridanus superbubble is ionised by the total ultraviolet radiation from the Ori OB1 association.You can see a false colour image of the Fishhook nebula here."
246,"Sh 2-246 is visible in the direction of Lynds dark cloud LDN 1562, which together with Lynds dark cloud LDN 1563 forms a local dust ridge located well below the galactic plane at a distance of 180 pc, and is part of the Taurus dark cloud complex, which is inside the Gould belt, our local galactic neighbourhood.BFS provide no distance estimate for this nebula but note ""Bright dark cloud"".Avedisova concludes that Sh 2-246 and LDN 1562 are part of the same star formation region, SFR 186.96-16.58. If Sh 2-246 is actually embedded in this dust ridge, it must be much closer than the distance estimate given here."
247,"According to a 1989 study, Sh 2-247 is part of the Gem OB1 association, contains 37 thousand solar masses of gas and dust at a distance of 2200 pc, and appears to be physically connected through CO filaments with Sh 2-252. It is ionised by the B0 III giant LS V +21 27. Avedisova places Sh 2-247 in the complex star formation region SFR 188.93+0.79 with 51 components, including 9 masers, several infrared star clusters, at least 4 molecular clouds, and the young stellar object IRAS 06058+2138. In 1984 she gave a 3500 pc distance estimate but corrected this to 2000 pc in 1989.The available distance estimates suggests a location on the near side of the Perseus arm."
248,"This is the Jellyfish nebula, a 3000-year-old supernova remnant (SNR 189.1+03.0, Gem A, IC 443).You can see a beautiful image of IC 443 and the HII region Sh 2-249 here."
249,"This HII region is ionised by members of the Gem OB1 association. Avedisova lists 3 B-class ionising stars (HD 43753, HD 43818 and HD 255091). Humphreys places all three of these stars in Gem OB1.Avedisova places Sh 2-249 in star formation region SFR 189.01+4.02 along with the smaller HII region BFS 51, three reflection nebulae, and the dark nebulae LDN 1564, LDN 1567, and LDN 1568.The relationship between Sh 2-249 and the adjacent supernova remnant Sh 2-248 (IC 443) is unclear. A 1984 paper concluded that Sh 2-249 is not a foreground source for IC 443 implying that it may be further away than the supernova remnant.You can see a beautiful image of the supernova remnant Sh 2-248 (IC 443) and Sh 2-249 here."
250,"Sh 2-250 is the brightest portion of an extremely faint ring surrounding the B2.5Vne class emission star HD 29441. It is located in the direction of the Orion-Eridanus superbubble surrounding the Ori OB1 association.You can see the ring and the nebula position here and the star position here.You can see an interesting image of the faint nebulosity in this direction here."
251,"Sh 2-250 and Sh 2-251 appear to be areas of nebulosity within the Orion-Eridanus superbubble, like Sh 2-245. The superbubble is ionised by ultraviolet radiation from the hot stars of the Ori OB1 association."
252,"The Monkey nebula (NGC 2174, also called the Monkey's Head nebula) contains five star clusters, including two which form the stellar group NGC 2175. It lies in the Perseus arm within the Gemini giant molecular clouds. By far the most important source of ionising radiation is the O6.5 V class star HD 42088.Sh 2-252 may be connected to Sh 2-247 by CO clouds.For more information on this complex region, see the Gem OB1 section of the description of the Jellyfish (190Â° - 180Â°) sector in the Commentary on the Galactic Plane."
253,"Sh 2-253 is ionised by stars in the Bochum 1 star cluster, including the B 1.5 V class LS V +20 40.For more information including detailed references, see the Orion (200Â° - 190Â°) sector description in the Commentary on the Galactic Plane."
254,"The Sh 2-254 to Sh 2-258 HII regions are embedded in a molecular cloud with 27 thousand solar masses of gas and dust. The dense central core of the cloud, which includes the young massive cluster S255-2, is located between the two bright nebulae Sh 2-255 and Sh 2-257. This star formation complex, catalogued by Avedisova as 192.60-0.05, contains 6 ionising stars, a massive proto stellar cluster (Sh 2-255N), three infrared clusters and 11 masers.Sh 2-254 is the large faint nebula at the right of this image.This labelled image identifies the position of each nebula.For more information on this star formation region and detailed references, see the Gem OB1 section of the description of the Orion (200Â° - 190Â°) sector of the Commentary on the Galactic Plane."
255,"Also called IC 2162. Part of the Sh 2-254 to Sh 2-258 star formation region.Sh 2-255 is the bright nebula at the left of this image."
256,"Part of the Sh 2-254 to Sh 2-258 star formation region.Sh 2-256 is the small dim nebula to the lower right of the two bright nebulae in this image."
257,"Part of the Sh 2-254 to Sh 2-258 star formation region.Sh 2-257 is the bright nebula at the middle of this image."
258,"Part of the Sh 2-254 to Sh 2-258 star formation region.Sh 2-258 is the dim nebula barely visible at the far left of this image. It can be seen more clearly in this labeled image."
259,"This HII region lies in the direction of the Gem OB1 molecular clouds but its distance seems to make it a background object in the outer Cygnus arm. It is centred around the B1 V star ALS 18669."
260,"This filamentary nebulosity is seen in the direction of the Orion-Eridanus superbubble. It is most likely associated with the Lambda Orionis ring (Sh 2-264) according to one source.This Milky Way Explorer image shows that the nebula is in a similar direction as the B2 III giant HD 30836.You can see a more detailed image of this little-studied nebula here."
261,"Lower's nebula is an HII region ionised by the O7.5V runaway star HD 41997."
262,"Another little-studied nebula in the direction of the Orion-Eridanus superbubble. BFS detect no CO emission in this direction. A 2005 paper comments that Sh 2-262 is most likely associated with the Lambda Orionis ring (Sh 2-264), and indeed, it can be seen in this Milky Way Explorer image as an hydrogen-alpha ridge visible below Sh 2-264.Dean Salman has created a detailed image of this nebula."
263,"This HII region and reflection nebula is ionised by the B0-B1 V star HD 34989. Avedisova places it in star formation region SFR 195.06-11.99 as part of the Lambda Orionis ring complex along with Sh 2-264, Sh 2-265 and the dark nebula LDN 1582 (Barnard 32).Dean Salman has created a detailed image of this nebula."
264,"The combined HII region and supernova remnant Sh 2-264 is called the Angelfish nebula because of its appearance in visual light, or the Lambda Orionis ring because of its appearance in infrared. It is ionised by the O8 III subgiant star Lambda Orionis, and to a lesser extent, the 11 B stars near to it, which together form the loose star association Collinder 69, often called the Lam Ori cluster.The region around Lambda Orionis is dominated by a ring of molecular clouds whose structure can perhaps best be explained by a supernova very close to the star about 1 million years ago. The image shows only a small fragment of Sh 2-264.This object is impressive at visual frequencies and astonishing in infrared, which shows the true extent of the ring of molecular clouds surrounding the HII region."
265,"This diffuse HII region is part of the Barnard 223 dark cloud in the southern part of the Lambda Orionis ring (most of which forms the huge Sh 2-264 HII region). However, Sh 2-265 is not ionised by Lambda Orionis itself. Instead it is probably ionised by stars in the Ori OB1b portion of the Ori OB1 association.Avedisova places it in star formation region SFR 195.06-11.99 as part of the Lambda Orionis ring complex along with Sh 2-263, Sh 2-264 and the dark nebula LDN 1582 (Barnard 32).The position of this nebula in the BFS Vizier catalog is currently incorrect."
266,"Sh 2-266 is a peculiar object consisting of a cometary nebula surrounding the Be class supergiant MWC 137, which may be generating a strong stellar wind and appears to be surrounded by a small star cluster. It appears to be located in the Cygnus (outer) arm."
267,"This HII region (sometimes incorrectly identified as a planetary nebula) is ionised by the O9 V class star MFJ SH 2-267 2 and contains the infrared cluster [BDS 2003] 81."
268,"This large but faint nebula is prominent in hydrogen-alpha and infrared. According to Avedisova, it is ionised by the B1 III giant HD 42352.The position of this nebula in the BFS Vizier catalog and in SIMBAD is currently incorrect.For more information on this region, including detailed references, see the Sh 2-266 to Sh 2-272 section of the description of the Orion (200Â° - 190Â°) sector in the Commentary on the Galactic Plane."
269,"Sh 2-269 lies in front of a 8700 solar mass giant molecular cloud in the Cygnus (outer) arm. It is bisected by a dust lane and is ionised by two stars in the western side of the nebula. One is a B0.5 V star (MFJ Sh 2-269 2), the other is visible only in the infrared and appears to be either O8 or O9.5."
270,"This bipolar nebula contains an infrared star cluster (IRAS 06073+1249) embedded in a 1000 solar mass molecular cloud and may be ionised by a B0.5 V class star. There are a wide range of distance estimates available for this object. Some estimates place it in the Perseus arm, and others closer to the Outer arm.For more information on this region, including detailed references, see the Sh 2-266 to Sh 2-272 section of the description of the Orion (200Â° - 190Â°) sector of the Commentary on the Galactic Plane."
271,"Sh 2-271 contains the infrared cluster [BDS2003] 82 and is embedded in a 9800 solar mass molecular cloud. This is an HII region, not a planetary nebula as is sometimes reported.Sh 2-271 and the much fainter Sh 2-272 are both part of the Avedisova star formation region 197.77-2.31. She concludes that these nebulae are ionised by two uncatalogued stars: MFJ Sh 2-271 1 (O9 V) and MFJ Sh 2-272 3 (B1 V)."
272,"Sh 2-272 is an HII region, not a planetary nebula as is sometimes reported.Sh 2-271 and the much fainter Sh 2-272 are both part of the Avedisova star formation region 197.77-2.31. She concludes that these nebulae are ionised by two uncatalogued stars: MFJ Sh 2-271 1 (O9 V) and MFJ Sh 2-272 3 (B1 V)."
273,"The Fox Fur nebula is associated with the Christmas Tree star cluster NGC 2264, dominated by the O7Ve multiple star system S Monocerotis (S Mon). This region, which is part of the larger Mon OB1 association, also includes the famous Cone nebula, visible at the bottom of the image.You can find out more about this region in the Mon OB1 section of the description of the Fox Fur and Rosette (210Â° - 200Â°) sector in the Commentary on the Galactic Plane.A better image of the Fox Fur nebula region can be found here. A wide scale view that shows the huge region of nebulosity in this direction is here.The relatively close distance estimate suggests that Mon OB1 is part of the Orion spur."
